Vu-PC

wrapped
grid edge      |proportion     |time (secs)
1              |   0.5000000000|   0.0000703335
2              |   0.1250000000|   0.0012884140
3              |   0.2500000000|   0.0969145298
4              |   0.2728118896|  20.7280466557

grid edge      |proportion     |time (secs)
1              |   0.5000000000|   0.0000774860
2              |   0.1250000000|   0.0013391972
3              |   0.3847656250|   0.1073656082
4              |   0.1779022217|  22.7012376785

superly
grid edge      |proportion     |time (secs)
1              |   1.0000000000|   0.0530161858
2              |   1.0000000000|  12.0819287300
